chunk_id,document_id,series_id,chunk_index,section,text,department,category,subcategory,document_type,country,classification,allowed_roles,allowed_departments,version,status,owner_team,source_system,updated_at,content_hash
ENG-000002-C02,ENG-000002,ENG-TESTING-00002,2,Scope,"Integration Testing — Ireland v1.4
Scope
It applies to employees, contractors, and managed service teams where the stated scope is relevant. This version applies to Ireland.",Software Engineering,Testing,integration testing,technical_standard,IE,INTERNAL,"[""employee"", ""engineer"", ""tech_lead"", ""architect""]",[],1.4,ARCHIVED,Frontend Platform,google_drive,2026-08-14,c9672f4338df
ENG-000002-C03,ENG-000002,ENG-TESTING-00002,3,Requirements,"Integration Testing — Ireland v1.4
Requirements
- Integration Testing must follow the current approved policy and ownership model. - Operational evidence for integration testing should be retained according to the applicable retention schedule. - Exceptions involving integration testing require documented approval from the responsible owner. - Teams should use standard tooling and published procedures when working with integration testing.",Software Engineering,Testing,integration testing,technical_standard,IE,INTERNAL,"[""employee"", ""engineer"", ""tech_lead"", ""architect""]",[],1.4,ARCHIVED,Frontend Platform,google_drive,2026-08-14,9856797fa218
ENG-000002-C04,ENG-000002,ENG-TESTING-00002,4,Controls,"Integration Testing — Ireland v1.4
Controls
Sensitive information must follow the organisation's classification and least-privilege requirements.",Software Engineering,Testing,integration testing,technical_standard,IE,INTERNAL,"[""employee"", ""engineer"", ""tech_lead"", ""architect""]",[],1.4,ARCHIVED,Frontend Platform,google_drive,2026-08-14,64b18ccdce34
ENG-000002-C05,ENG-000002,ENG-TESTING-00002,5,Procedure,"Integration Testing — Ireland v1.4
Procedure
1. Confirm that the request concerns integration testing.
2. Verify the relevant owner, country, environment, and current version.
3. Follow the approved workflow and capture evidence.
4. Escalate unresolved or exceptional cases to Frontend Platform.",Software Engineering,Testing,integration testing,technical_standard,IE,INTERNAL,"[""employee"", ""engineer"", ""tech_lead"", ""architect""]",[],1.4,ARCHIVED,Frontend Platform,google_drive,2026-08-14,db8db61739b3
ENG-000002-C06,ENG-000002,ENG-TESTING-00002,6,Validation,"Integration Testing — Ireland v1.4
Validation
If the procedure does not resolve the issue, escalate to the listed owner team with timestamps, identifiers, and evidence.",Software Engineering,Testing,integration testing,technical_standard,IE,INTERNAL,"[""employee"", ""engineer"", ""tech_lead"", ""architect""]",[],1.4,ARCHIVED,Frontend Platform,google_drive,2026-08-14,6b90bad78c9a
ENG-000002-C07,ENG-000002,ENG-TESTING-00002,7,Version,"Integration Testing — Ireland v1.4
Version
Version 1.4. Status: ARCHIVED. This document is archived and retained only for historical reference.",Software Engineering,Testing,integration testing,technical_standard,IE,INTERNAL,"[""employee"", ""engineer"", ""tech_lead"", ""architect""]",[],1.4,ARCHIVED,Frontend Platform,google_drive,2026-08-14,3ecc7cbaa53b
ENG-000003-C00,ENG-000003,ENG-TESTING-00002,0,Integration Testing — Ireland v2.4,"Integration Testing — Ireland v2.4
Integration Testing — Ireland v2.4
# Integration Testing — Ireland v2.4",Software Engineering,Testing,integration testing,technical_standard,IE,INTERNAL,"[""employee"", ""engineer"", ""tech_lead"", ""architect""]",[],2.4,ARCHIVED,Frontend Platform,servicenow,2024-02-02,601d5a7de533
ENG-000003-C01,ENG-000003,ENG-TESTING-00002,1,Purpose,"Integration Testing — Ireland v2.4
Purpose
The standard exists to reduce inconsistent implementation, avoid repeated support effort, and provide an auditable source of truth.",Software Engineering,Testing,integration testing,technical_standard,IE,INTERNAL,"[""employee"", ""engineer"", ""tech_lead"", ""architect""]",[],2.4,ARCHIVED,Frontend Platform,servicenow,2024-02-02,bf61360b6f06
ENG-000003-C02,ENG-000003,ENG-TESTING-00002,2,Scope,"Integration Testing — Ireland v2.4
Scope
Country-specific and role-specific exceptions override the global baseline only when explicitly documented. This version applies to Ireland.",Software Engineering,Testing,integration testing,technical_standard,IE,INTERNAL,"[""employee"", ""engineer"", ""tech_lead"", ""architect""]",[],2.4,ARCHIVED,Frontend Platform,servicenow,2024-02-02,ec4ad8cfc7cb
ENG-000003-C03,ENG-000003,ENG-TESTING-00002,3,Requirements,"Integration Testing — Ireland v2.4
Requirements
- Integration Testing must follow the current approved policy and ownership model. - Operational evidence for integration testing should be retained according to the applicable retention schedule. - Exceptions involving integration testing require documented approval from the responsible owner. - Teams should use standard tooling and published procedures when working with integration testing.",Software Engineering,Testing,integration testing,technical_standard,IE,INTERNAL,"[""employee"", ""engineer"", ""tech_lead"", ""architect""]",[],2.4,ARCHIVED,Frontend Platform,servicenow,2024-02-02,1a085324a8c6
ENG-000003-C04,ENG-000003,ENG-TESTING-00002,4,Controls,"Integration Testing — Ireland v2.4
Controls
Sensitive information must follow the organisation's classification and least-privilege requirements.",Software Engineering,Testing,integration testing,technical_standard,IE,INTERNAL,"[""employee"", ""engineer"", ""tech_lead"", ""architect""]",[],2.4,ARCHIVED,Frontend Platform,servicenow,2024-02-02,79846bfe5425
ENG-000003-C05,ENG-000003,ENG-TESTING-00002,5,Procedure,"Integration Testing — Ireland v2.4
Procedure
1. Confirm that the request concerns integration testing.
2. Verify the relevant owner, country, environment, and current version.
3. Follow the approved workflow and capture evidence.
4. Escalate unresolved or exceptional cases to Frontend Platform.",Software Engineering,Testing,integration testing,technical_standard,IE,INTERNAL,"[""employee"", ""engineer"", ""tech_lead"", ""architect""]",[],2.4,ARCHIVED,Frontend Platform,servicenow,2024-02-02,383c283c377f
ENG-000003-C06,ENG-000003,ENG-TESTING-00002,6,Validation,"Integration Testing — Ireland v2.4
Validation
Do not bypass required controls simply to shorten resolution time.",Software Engineering,Testing,integration testing,technical_standard,IE,INTERNAL,"[""employee"", ""engineer"", ""tech_lead"", ""architect""]",[],2.4,ARCHIVED,Frontend Platform,servicenow,2024-02-02,a25f99fbdb6f
ENG-000003-C07,ENG-000003,ENG-TESTING-00002,7,Version,"Integration Testing — Ireland v2.4
Version
Version 2.4. Status: ARCHIVED. This document is archived and retained only for historical reference.",Software Engineering,Testing,integration testing,technical_standard,IE,INTERNAL,"[""employee"", ""engineer"", ""tech_lead"", ""architect""]",[],2.4,ARCHIVED,Frontend Platform,servicenow,2024-02-02,8ef3c80e877d
ENG-000004-C00,ENG-000004,ENG-TESTING-00002,0,Integration Testing — Ireland v3.0,"Integration Testing — Ireland v3.0
Integration Testing — Ireland v3.0
# Integration Testing — Ireland v3.0",Software Engineering,Testing,integration testing,technical_standard,IE,INTERNAL,"[""employee"", ""engineer"", ""tech_lead"", ""architect""]",[],3.0,ACTIVE,Frontend Platform,sharepoint,2026-01-28,a5508924cfbf
ENG-000004-C01,ENG-000004,ENG-TESTING-00002,1,Purpose,"Integration Testing — Ireland v3.0
Purpose
Teams must apply this guidance when working with integration testing in production or employee-facing environments.",Software Engineering,Testing,integration testing,technical_standard,IE,INTERNAL,"[""employee"", ""engineer"", ""tech_lead"", ""architect""]",[],3.0,ACTIVE,Frontend Platform,sharepoint,2026-01-28,abf1dab599a9
ENG-000004-C02,ENG-000004,ENG-TESTING-00002,2,Scope,"Integration Testing — Ireland v3.0
Scope
Archived versions remain available for audit purposes but must not be used for new decisions. This version applies to Ireland.",Software Engineering,Testing,integration testing,technical_standard,IE,INTERNAL,"[""employee"", ""engineer"", ""tech_lead"", ""architect""]",[],3.0,ACTIVE,Frontend Platform,sharepoint,2026-01-28,4e13017318fa
ENG-000004-C03,ENG-000004,ENG-TESTING-00002,3,Requirements,"Integration Testing — Ireland v3.0
Requirements
- Integration Testing must follow the current approved policy and ownership model. - Operational evidence for integration testing should be retained according to the applicable retention schedule. - Exceptions involving integration testing require documented approval from the responsible owner. - Teams should use standard tooling and published procedures when working with integration testing.",Software Engineering,Testing,integration testing,technical_standard,IE,INTERNAL,"[""employee"", ""engineer"", ""tech_lead"", ""architect""]",[],3.0,ACTIVE,Frontend Platform,sharepoint,2026-01-28,2a95cd2024f4
ENG-000004-C04,ENG-000004,ENG-TESTING-00002,4,Controls,"Integration Testing — Ireland v3.0
Controls
Requests requiring elevated access must be approved by the designated owner and recorded in the enterprise service system.",Software Engineering,Testing,integration testing,technical_standard,IE,INTERNAL,"[""employee"", ""engineer"", ""tech_lead"", ""architect""]",[],3.0,ACTIVE,Frontend Platform,sharepoint,2026-01-28,bcd5da25284b
ENG-000004-C05,ENG-000004,ENG-TESTING-00002,5,Procedure,"Integration Testing — Ireland v3.0
Procedure
1. Confirm that the request concerns integration testing.
2. Verify the relevant owner, country, environment, and current version.
3. Follow the approved workflow and capture evidence.
4. Escalate unresolved or exceptional cases to Frontend Platform.",Software Engineering,Testing,integration testing,technical_standard,IE,INTERNAL,"[""employee"", ""engineer"", ""tech_lead"", ""architect""]",[],3.0,ACTIVE,Frontend Platform,sharepoint,2026-01-28,581cd33e8031
ENG-000004-C06,ENG-000004,ENG-TESTING-00002,6,Validation,"Integration Testing — Ireland v3.0
Validation
Do not bypass required controls simply to shorten resolution time.",Software Engineering,Testing,integration testing,technical_standard,IE,INTERNAL,"[""employee"", ""engineer"", ""tech_lead"", ""architect""]",[],3.0,ACTIVE,Frontend Platform,sharepoint,2026-01-28,d4a233e95083
ENG-000004-C07,ENG-000004,ENG-TESTING-00002,7,Version,"Integration Testing — Ireland v3.0
Version
Version 3.0. Status: ACTIVE.",Software Engineering,Testing,integration testing,technical_standard,IE,INTERNAL,"[""employee"", ""engineer"", ""tech_lead"", ""architect""]",[],3.0,ACTIVE,Frontend Platform,sharepoint,2026-01-28,7c08fd25ed09
ENG-000005-C00,ENG-000005,ENG-FRONTEND-00003,0,Accessibility — United States,"Accessibility — United States
Accessibility — United States
# Accessibility — United States",Software Engineering,Frontend,accessibility,api_guide,US,INTERNAL,"[""employee"", ""engineer"", ""tech_lead"", ""architect""]",[],1.2,ACTIVE,Data Platform,github,2024-03-30,e655694f14b4
ENG-000005-C01,ENG-000005,ENG-FRONTEND-00003,1,Purpose,"Accessibility — United States
Purpose
The standard exists to reduce inconsistent implementation, avoid repeated support effort, and provide an auditable source of truth.",Software Engineering,Frontend,accessibility,api_guide,US,INTERNAL,"[""employee"", ""engineer"", ""tech_lead"", ""architect""]",[],1.2,ACTIVE,Data Platform,github,2024-03-30,b6d779947638
ENG-000005-C02,ENG-000005,ENG-FRONTEND-00003,2,Scope,"Accessibility — United States
Scope
Archived versions remain available for audit purposes but must not be used for new decisions. This version applies to United States.",Software Engineering,Frontend,accessibility,api_guide,US,INTERNAL,"[""employee"", ""engineer"", ""tech_lead"", ""architect""]",[],1.2,ACTIVE,Data Platform,github,2024-03-30,8d8a03f8e496
ENG-000005-C03,ENG-000005,ENG-FRONTEND-00003,3,Requirements,"Accessibility — United States
Requirements
- Accessibility must follow the current approved policy and ownership model. - Operational evidence for accessibility should be retained according to the applicable retention schedule. - Exceptions involving accessibility require documented approval from the responsible owner. - Teams should use standard tooling and published procedures when working with accessibility.",Software Engineering,Frontend,accessibility,api_guide,US,INTERNAL,"[""employee"", ""engineer"", ""tech_lead"", ""architect""]",[],1.2,ACTIVE,Data Platform,github,2024-03-30,90b0f755a8e1
ENG-000005-C04,ENG-000005,ENG-FRONTEND-00003,4,Controls,"Accessibility — United States
Controls
Changes affecting production require peer review, traceable evidence, and rollback instructions.",Software Engineering,Frontend,accessibility,api_guide,US,INTERNAL,"[""employee"", ""engineer"", ""tech_lead"", ""architect""]",[],1.2,ACTIVE,Data Platform,github,2024-03-30,dc7b1a62fd83
ENG-000005-C05,ENG-000005,ENG-FRONTEND-00003,5,Procedure,"Accessibility — United States
Procedure
1. Confirm that the request concerns accessibility.
2. Verify the relevant owner, country, environment, and current version.
3. Follow the approved workflow and capture evidence.
4. Escalate unresolved or exceptional cases to Data Platform.",Software Engineering,Frontend,accessibility,api_guide,US,INTERNAL,"[""employee"", ""engineer"", ""tech_lead"", ""architect""]",[],1.2,ACTIVE,Data Platform,github,2024-03-30,72725bb9591b
ENG-000005-C06,ENG-000005,ENG-FRONTEND-00003,6,Validation,"Accessibility — United States
Validation
Verify the current document version before acting.",Software Engineering,Frontend,accessibility,api_guide,US,INTERNAL,"[""employee"", ""engineer"", ""tech_lead"", ""architect""]",[],1.2,ACTIVE,Data Platform,github,2024-03-30,db8424a59ce8
ENG-000005-C07,ENG-000005,ENG-FRONTEND-00003,7,Version,"Accessibility — United States
Version
Version 1.2. Status: ACTIVE.",Software Engineering,Frontend,accessibility,api_guide,US,INTERNAL,"[""employee"", ""engineer"", ""tech_lead"", ""architect""]",[],1.2,ACTIVE,Data Platform,github,2024-03-30,68fde56eaef1
ENG-000006-C00,ENG-000006,ENG-JAVA-SER-00004,0,Gradle Builds — United States,"Gradle Builds — United States
Gradle Builds — United States
# Gradle Builds — United States",Software Engineering,Java Services,Gradle builds,migration_guide,US,INTERNAL,"[""employee"", ""engineer"", ""tech_lead"", ""architect""]",[],1.0,ACTIVE,Data Platform,google_drive,2025-04-29,ab44fee63d6d
ENG-000006-C01,ENG-000006,ENG-JAVA-SER-00004,1,Purpose,"Gradle Builds — United States
Purpose
Teams must apply this guidance when working with Gradle builds in production or employee-facing environments.",Software Engineering,Java Services,Gradle builds,migration_guide,US,INTERNAL,"[""employee"", ""engineer"", ""tech_lead"", ""architect""]",[],1.0,ACTIVE,Data Platform,google_drive,2025-04-29,5bb5cc98302e
ENG-000006-C02,ENG-000006,ENG-JAVA-SER-00004,2,Scope,"Gradle Builds — United States
Scope
Country-specific and role-specific exceptions override the global baseline only when explicitly documented. This version applies to United States.",Software Engineering,Java Services,Gradle builds,migration_guide,US,INTERNAL,"[""employee"", ""engineer"", ""tech_lead"", ""architect""]",[],1.0,ACTIVE,Data Platform,google_drive,2025-04-29,ef6e6528c972
ENG-000006-C03,ENG-000006,ENG-JAVA-SER-00004,3,Requirements,"Gradle Builds — United States
Requirements
- Gradle Builds must follow the current approved policy and ownership model. - Operational evidence for Gradle builds should be retained according to the applicable retention schedule. - Exceptions involving Gradle builds require documented approval from the responsible owner. - Teams should use standard tooling and published procedures when working with Gradle builds.",Software Engineering,Java Services,Gradle builds,migration_guide,US,INTERNAL,"[""employee"", ""engineer"", ""tech_lead"", ""architect""]",[],1.0,ACTIVE,Data Platform,google_drive,2025-04-29,77c127a07a9b
ENG-000006-C04,ENG-000006,ENG-JAVA-SER-00004,4,Controls,"Gradle Builds — United States
Controls
Changes affecting production require peer review, traceable evidence, and rollback instructions.",Software Engineering,Java Services,Gradle builds,migration_guide,US,INTERNAL,"[""employee"", ""engineer"", ""tech_lead"", ""architect""]",[],1.0,ACTIVE,Data Platform,google_drive,2025-04-29,9867ba5d2453
ENG-000006-C05,ENG-000006,ENG-JAVA-SER-00004,5,Procedure,"Gradle Builds — United States
Procedure
1. Confirm that the request concerns Gradle builds.
2. Verify the relevant owner, country, environment, and current version.
3. Follow the approved workflow and capture evidence.
4. Escalate unresolved or exceptional cases to Data Platform.",Software Engineering,Java Services,Gradle builds,migration_guide,US,INTERNAL,"[""employee"", ""engineer"", ""tech_lead"", ""architect""]",[],1.0,ACTIVE,Data Platform,google_drive,2025-04-29,eb07762ffcc7
ENG-000006-C06,ENG-000006,ENG-JAVA-SER-00004,6,Validation,"Gradle Builds — United States
Validation
If the procedure does not resolve the issue, escalate to the listed owner team with timestamps, identifiers, and evidence.",Software Engineering,Java Services,Gradle builds,migration_guide,US,INTERNAL,"[""employee"", ""engineer"", ""tech_lead"", ""architect""]",[],1.0,ACTIVE,Data Platform,google_drive,2025-04-29,a2843004a76d
ENG-000006-C07,ENG-000006,ENG-JAVA-SER-00004,7,Version,"Gradle Builds — United States
Version
Version 1.0. Status: ACTIVE.",Software Engineering,Java Services,Gradle builds,migration_guide,US,INTERNAL,"[""employee"", ""engineer"", ""tech_lead"", ""architect""]",[],1.0,ACTIVE,Data Platform,google_drive,2025-04-29,14f52af1bc34
ENG-000007-C00,ENG-000007,ENG-MESSAGIN-00005,0,Consumer Retries — United Kingdom,"Consumer Retries — United Kingdom
Consumer Retries — United Kingdom
# Consumer Retries — United Kingdom",Software Engineering,Messaging,consumer retries,coding_standard,UK,EMPLOYEE,"[""employee"", ""engineer"", ""tech_lead"", ""architect""]",[],1.0,ACTIVE,Data Platform,hr_portal,2025-03-12,35ee2a800c4e
ENG-000007-C01,ENG-000007,ENG-MESSAGIN-00005,1,Purpose,"Consumer Retries — United Kingdom
Purpose
The standard exists to reduce inconsistent implementation, avoid repeated support effort, and provide an auditable source of truth.",Software Engineering,Messaging,consumer retries,coding_standard,UK,EMPLOYEE,"[""employee"", ""engineer"", ""tech_lead"", ""architect""]",[],1.0,ACTIVE,Data Platform,hr_portal,2025-03-12,b0aa9d683466
ENG-000007-C02,ENG-000007,ENG-MESSAGIN-00005,2,Scope,"Consumer Retries — United Kingdom
Scope
Country-specific and role-specific exceptions override the global baseline only when explicitly documented. This version applies to United Kingdom.",Software Engineering,Messaging,consumer retries,coding_standard,UK,EMPLOYEE,"[""employee"", ""engineer"", ""tech_lead"", ""architect""]",[],1.0,ACTIVE,Data Platform,hr_portal,2025-03-12,bb56488624fd
ENG-000007-C03,ENG-000007,ENG-MESSAGIN-00005,3,Requirements,"Consumer Retries — United Kingdom
Requirements
- Consumer Retries must follow the current approved policy and ownership model. - Operational evidence for consumer retries should be retained according to the applicable retention schedule. - Exceptions involving consumer retries require documented approval from the responsible owner. - Teams should use standard tooling and published procedures when working with consumer retries.",Software Engineering,Messaging,consumer retries,coding_standard,UK,EMPLOYEE,"[""employee"", ""engineer"", ""tech_lead"", ""architect""]",[],1.0,ACTIVE,Data Platform,hr_portal,2025-03-12,5f67360ca6ff
ENG-000007-C04,ENG-000007,ENG-MESSAGIN-00005,4,Controls,"Consumer Retries — United Kingdom
Controls
Changes affecting production require peer review, traceable evidence, and rollback instructions.",Software Engineering,Messaging,consumer retries,coding_standard,UK,EMPLOYEE,"[""employee"", ""engineer"", ""tech_lead"", ""architect""]",[],1.0,ACTIVE,Data Platform,hr_portal,2025-03-12,07716174af21
ENG-000007-C05,ENG-000007,ENG-MESSAGIN-00005,5,Procedure,"Consumer Retries — United Kingdom
Procedure
1. Confirm that the request concerns consumer retries.
2. Verify the relevant owner, country, environment, and current version.
3. Follow the approved workflow and capture evidence.
4. Escalate unresolved or exceptional cases to Data Platform.",Software Engineering,Messaging,consumer retries,coding_standard,UK,EMPLOYEE,"[""employee"", ""engineer"", ""tech_lead"", ""architect""]",[],1.0,ACTIVE,Data Platform,hr_portal,2025-03-12,c8e47f71f18b
ENG-000007-C06,ENG-000007,ENG-MESSAGIN-00005,6,Validation,"Consumer Retries — United Kingdom
Validation
Verify the current document version before acting.",Software Engineering,Messaging,consumer retries,coding_standard,UK,EMPLOYEE,"[""employee"", ""engineer"", ""tech_lead"", ""architect""]",[],1.0,ACTIVE,Data Platform,hr_portal,2025-03-12,0c7f2b637741
ENG-000007-C07,ENG-000007,ENG-MESSAGIN-00005,7,Version,"Consumer Retries — United Kingdom
Version
Version 1.0. Status: ACTIVE.",Software Engineering,Messaging,consumer retries,coding_standard,UK,EMPLOYEE,"[""employee"", ""engineer"", ""tech_lead"", ""architect""]",[],1.0,ACTIVE,Data Platform,hr_portal,2025-03-12,e91611f31c34
ENG-000008-C00,ENG-000008,ENG-PYTHON-B-00006,0,Pytest Strategy — Ireland,"Pytest Strategy — Ireland
Pytest Strategy — Ireland
# Pytest Strategy — Ireland",Software Engineering,Python Backend,pytest strategy,migration_guide,IE,EMPLOYEE,"[""employee"", ""engineer"", ""tech_lead"", ""architect""]",[],1.2,ACTIVE,Architecture Guild,servicenow,2026-09-23,bbda2787b343
ENG-000008-C01,ENG-000008,ENG-PYTHON-B-00006,1,Purpose,"Pytest Strategy — Ireland
Purpose
The standard exists to reduce inconsistent implementation, avoid repeated support effort, and provide an auditable source of truth.",Software Engineering,Python Backend,pytest strategy,migration_guide,IE,EMPLOYEE,"[""employee"", ""engineer"", ""tech_lead"", ""architect""]",[],1.2,ACTIVE,Architecture Guild,servicenow,2026-09-23,6d45bc04d0c0
ENG-000008-C02,ENG-000008,ENG-PYTHON-B-00006,2,Scope,"Pytest Strategy — Ireland
Scope
It applies to employees, contractors, and managed service teams where the stated scope is relevant. This version applies to Ireland.",Software Engineering,Python Backend,pytest strategy,migration_guide,IE,EMPLOYEE,"[""employee"", ""engineer"", ""tech_lead"", ""architect""]",[],1.2,ACTIVE,Architecture Guild,servicenow,2026-09-23,5dab37e9b5e4
ENG-000008-C03,ENG-000008,ENG-PYTHON-B-00006,3,Requirements,"Pytest Strategy — Ireland
Requirements
- Pytest Strategy must follow the current approved policy and ownership model. - Operational evidence for pytest strategy should be retained according to the applicable retention schedule. - Exceptions involving pytest strategy require documented approval from the responsible owner. - Teams should use standard tooling and published procedures when working with pytest strategy.",Software Engineering,Python Backend,pytest strategy,migration_guide,IE,EMPLOYEE,"[""employee"", ""engineer"", ""tech_lead"", ""architect""]",[],1.2,ACTIVE,Architecture Guild,servicenow,2026-09-23,4cd0cba00227
ENG-000008-C04,ENG-000008,ENG-PYTHON-B-00006,4,Controls,"Pytest Strategy — Ireland
Controls
Sensitive information must follow the organisation's classification and least-privilege requirements.",Software Engineering,Python Backend,pytest strategy,migration_guide,IE,EMPLOYEE,"[""employee"", ""engineer"", ""tech_lead"", ""architect""]",[],1.2,ACTIVE,Architecture Guild,servicenow,2026-09-23,c155f9cd9dc0
ENG-000008-C05,ENG-000008,ENG-PYTHON-B-00006,5,Procedure,"Pytest Strategy — Ireland
Procedure
1. Confirm that the request concerns pytest strategy.
2. Verify the relevant owner, country, environment, and current version.
3. Follow the approved workflow and capture evidence.
4. Escalate unresolved or exceptional cases to Architecture Guild.",Software Engineering,Python Backend,pytest strategy,migration_guide,IE,EMPLOYEE,"[""employee"", ""engineer"", ""tech_lead"", ""architect""]",[],1.2,ACTIVE,Architecture Guild,servicenow,2026-09-23,2c4c14f82169
ENG-000008-C06,ENG-000008,ENG-PYTHON-B-00006,6,Validation,"Pytest Strategy — Ireland
Validation
If the procedure does not resolve the issue, escalate to the listed owner team with timestamps, identifiers, and evidence.",Software Engineering,Python Backend,pytest strategy,migration_guide,IE,EMPLOYEE,"[""employee"", ""engineer"", ""tech_lead"", ""architect""]",[],1.2,ACTIVE,Architecture Guild,servicenow,2026-09-23,ad4e161478c5
ENG-000008-C07,ENG-000008,ENG-PYTHON-B-00006,7,Version,"Pytest Strategy — Ireland
Version
Version 1.2. Status: ACTIVE.",Software Engineering,Python Backend,pytest strategy,migration_guide,IE,EMPLOYEE,"[""employee"", ""engineer"", ""tech_lead"", ""architect""]",[],1.2,ACTIVE,Architecture Guild,servicenow,2026-09-23,d78ba02388da
ENG-000009-C00,ENG-000009,ENG-TESTING-00007,0,Unit Testing — Singapore,"Unit Testing — Singapore
Unit Testing — Singapore
# Unit Testing — Singapore",Software Engineering,Testing,unit testing,design_note,SG,EMPLOYEE,"[""employee"", ""engineer"", ""tech_lead"", ""architect""]",[],1.1,ACTIVE,Data Platform,confluence,2025-11-11,69008594083b
ENG-000009-C01,ENG-000009,ENG-TESTING-00007,1,Purpose,"Unit Testing — Singapore
Purpose
The standard exists to reduce inconsistent implementation, avoid repeated support effort, and provide an auditable source of truth.",Software Engineering,Testing,unit testing,design_note,SG,EMPLOYEE,"[""employee"", ""engineer"", ""tech_lead"", ""architect""]",[],1.1,ACTIVE,Data Platform,confluence,2025-11-11,85c6baf7f26e
