query_id,query,query_type,user_country,user_department,user_role,target_department,target_category,target_subcategory,relevance_judgments
Q-00033,What is the approved company procedure for this java services situation?,semantic_paraphrase,GLOBAL,Learning & Development,tech_lead,Software Engineering,Java Services,JVM tuning,"[{""document_id"": ""ENG-002614"", ""grade"": 3}, {""document_id"": ""ENG-000052"", ""grade"": 2}, {""document_id"": ""ENG-000156"", ""grade"": 2}]"
Q-00034,Where can I find the current guidance owned by Enterprise Architecture for this issue?,semantic_paraphrase,UK,Compliance & Legal,employee,Organisation & Directory,Ownership,product owner,"[{""document_id"": ""ORG-047247"", ""grade"": 3}, {""document_id"": ""ORG-047078"", ""grade"": 2}, {""document_id"": ""ORG-047277"", ""grade"": 2}]"
Q-00035,Where can I find the current guidance owned by Architecture Guild for this issue?,semantic_paraphrase,US,Organisation & Directory,architect,Software Engineering,APIs,rate limiting,"[{""document_id"": ""ENG-009519"", ""grade"": 3}, {""document_id"": ""ENG-001135"", ""grade"": 2}, {""document_id"": ""ENG-001603"", ""grade"": 2}]"
Q-00036,What should an employee do when they encounter this frontend scenario?,semantic_paraphrase,IN,Human Resources,architect,Software Engineering,Frontend,performance budgets,"[{""document_id"": ""ENG-005794"", ""grade"": 3}, {""document_id"": ""ENG-000182"", ""grade"": 2}, {""document_id"": ""ENG-002169"", ""grade"": 2}]"
Q-00037,What is the approved company procedure for this messaging situation?,semantic_paraphrase,IN,Human Resources,employee,Software Engineering,Messaging,schema evolution,"[{""document_id"": ""ENG-006401"", ""grade"": 3}, {""document_id"": ""ENG-001200"", ""grade"": 2}, {""document_id"": ""ENG-001705"", ""grade"": 2}]"
Q-00038,Where can I find the current guidance owned by Application Security for this issue?,semantic_paraphrase,US,Compliance & Legal,employee,Cybersecurity,Incident Response,phishing response,"[{""document_id"": ""SEC-022420"", ""grade"": 3}, {""document_id"": ""SEC-021059"", ""grade"": 2}, {""document_id"": ""SEC-021176"", ""grade"": 2}]"
Q-00039,Where can I find the current guidance owned by Observability Team for this issue?,semantic_paraphrase,GLOBAL,DevOps & SRE,employee,DevOps & SRE,Incidents,CPU throttling,"[{""document_id"": ""SRE-010183"", ""grade"": 3}, {""document_id"": ""SRE-010118"", ""grade"": 2}, {""document_id"": ""SRE-010138"", ""grade"": 2}]"
Q-00040,Where can I find the current guidance owned by People Operations for this issue?,semantic_paraphrase,GLOBAL,Cloud,manager,Organisation & Directory,Teams,enterprise IT,"[{""document_id"": ""ORG-047070"", ""grade"": 3}, {""document_id"": ""ORG-047153"", ""grade"": 2}, {""document_id"": ""ORG-047212"", ""grade"": 2}]"
Q-00041,Where can I find the current guidance owned by Quality Engineering for this issue?,semantic_paraphrase,GLOBAL,Software Engineering,project_manager,Project Delivery,Quality,quality gates,"[{""document_id"": ""PMO-040352"", ""grade"": 3}, {""document_id"": ""PMO-037144"", ""grade"": 2}, {""document_id"": ""PMO-037176"", ""grade"": 2}]"
Q-00042,Where can I find the current guidance owned by Information Security for this issue?,semantic_paraphrase,GLOBAL,Learning & Development,employee,Cybersecurity,Incident Response,security escalation,"[{""document_id"": ""SEC-023074"", ""grade"": 3}, {""document_id"": ""SEC-021096"", ""grade"": 2}, {""document_id"": ""SEC-021222"", ""grade"": 2}]"
Q-00043,What should an employee do when they encounter this sdlc scenario?,semantic_paraphrase,GLOBAL,Human Resources,manager,Project Delivery,SDLC,design review,"[{""document_id"": ""PMO-039827"", ""grade"": 3}, {""document_id"": ""PMO-037001"", ""grade"": 2}, {""document_id"": ""PMO-037004"", ""grade"": 2}]"
Q-00044,Where can I find the current guidance owned by People Operations for this issue?,semantic_paraphrase,GLOBAL,Software Engineering,employee,Organisation & Directory,Teams,identity,"[{""document_id"": ""ORG-048104"", ""grade"": 3}, {""document_id"": ""ORG-047017"", ""grade"": 2}, {""document_id"": ""ORG-047019"", ""grade"": 2}]"
Q-00045,What should an employee do when they encounter this architecture scenario?,semantic_paraphrase,GLOBAL,Project Delivery,architect,Software Engineering,Architecture,monolith decomposition,"[{""document_id"": ""ENG-005905"", ""grade"": 3}, {""document_id"": ""ENG-000069"", ""grade"": 2}, {""document_id"": ""ENG-000344"", ""grade"": 2}]"
Q-00046,What is the approved company procedure for this privacy situation?,semantic_paraphrase,IN,Organisation & Directory,legal,Compliance & Legal,Privacy,privacy incident,"[{""document_id"": ""LEG-044469"", ""grade"": 3}, {""document_id"": ""LEG-043133"", ""grade"": 2}, {""document_id"": ""LEG-043143"", ""grade"": 2}]"
Q-00047,What should an employee do when they encounter this technical scenario?,semantic_paraphrase,UK,Human Resources,manager,Learning & Development,Technical,frontend engineering,"[{""document_id"": ""LND-046005"", ""grade"": 3}, {""document_id"": ""LND-045262"", ""grade"": 2}, {""document_id"": ""LND-045645"", ""grade"": 2}]"
Q-00048,What should an employee do when they encounter this kubernetes scenario?,semantic_paraphrase,GLOBAL,IT Support,engineer,DevOps & SRE,Kubernetes,resource requests,"[{""document_id"": ""SRE-012631"", ""grade"": 3}, {""document_id"": ""SRE-010131"", ""grade"": 2}, {""document_id"": ""SRE-010133"", ""grade"": 2}]"
Q-00049,Where can I find the current guidance owned by PMO for this issue?,semantic_paraphrase,IN,Project Delivery,manager,Project Delivery,Governance,change control,"[{""document_id"": ""PMO-038872"", ""grade"": 3}, {""document_id"": ""PMO-037003"", ""grade"": 2}, {""document_id"": ""PMO-037200"", ""grade"": 2}]"
Q-00050,What are the rules for working somewhere other than the company office?,semantic_paraphrase,IE,Learning & Development,manager,Human Resources,Remote Work,work from home,"[{""document_id"": ""HR-027523"", ""grade"": 3}, {""document_id"": ""HR-025086"", ""grade"": 2}, {""document_id"": ""HR-025185"", ""grade"": 2}]"
Q-00051,What should an employee do when they encounter this sdlc scenario?,semantic_paraphrase,IN,Finance & Benefits,employee,Project Delivery,SDLC,design review,"[{""document_id"": ""PMO-038483"", ""grade"": 3}, {""document_id"": ""PMO-037067"", ""grade"": 2}, {""document_id"": ""PMO-037577"", ""grade"": 2}]"
Q-00052,What is the approved company procedure for this messaging situation?,semantic_paraphrase,US,Compliance & Legal,employee,Software Engineering,Messaging,Kafka event design,"[{""document_id"": ""ENG-006468"", ""grade"": 3}, {""document_id"": ""ENG-000699"", ""grade"": 2}, {""document_id"": ""ENG-000934"", ""grade"": 2}]"
Q-00053,What should an employee do when they encounter this leave scenario?,semantic_paraphrase,SG,Human Resources,hr,Human Resources,Leave,bereavement leave,"[{""document_id"": ""HR-025881"", ""grade"": 3}, {""document_id"": ""HR-025119"", ""grade"": 2}, {""document_id"": ""HR-025153"", ""grade"": 2}]"
Q-00054,What is the approved company procedure for this databases situation?,semantic_paraphrase,SG,Software Engineering,sre,DevOps & SRE,Databases,storage growth,"[{""document_id"": ""SRE-014750"", ""grade"": 3}, {""document_id"": ""SRE-010312"", ""grade"": 2}, {""document_id"": ""SRE-011031"", ""grade"": 2}]"
Q-00055,What should an employee do when they encounter this java services scenario?,semantic_paraphrase,UK,Finance & Benefits,engineer,Software Engineering,Java Services,JVM tuning,"[{""document_id"": ""ENG-007006"", ""grade"": 3}, {""document_id"": ""ENG-000189"", ""grade"": 2}, {""document_id"": ""ENG-002262"", ""grade"": 2}]"
Q-00056,Where can I find the current guidance owned by Talent Management for this issue?,semantic_paraphrase,IE,Project Delivery,employee,Human Resources,Benefits,wellbeing allowance,"[{""document_id"": ""HR-031240"", ""grade"": 3}, {""document_id"": ""HR-025308"", ""grade"": 2}, {""document_id"": ""HR-026467"", ""grade"": 2}]"
Q-00057,What should an employee do when they encounter this mandatory scenario?,semantic_paraphrase,UK,IT Support,hr,Learning & Development,Mandatory,code of conduct,"[{""document_id"": ""LND-046435"", ""grade"": 3}, {""document_id"": ""LND-045481"", ""grade"": 2}, {""document_id"": ""LND-045509"", ""grade"": 2}]"
Q-00058,Where can I find the current guidance owned by Service Management for this issue?,semantic_paraphrase,GLOBAL,Compliance & Legal,manager,Organisation & Directory,Ownership,product owner,"[{""document_id"": ""ORG-049232"", ""grade"": 3}, {""document_id"": ""ORG-047002"", ""grade"": 2}, {""document_id"": ""ORG-047229"", ""grade"": 2}]"
Q-00059,What should an employee do when they encounter this endpoint scenario?,semantic_paraphrase,SG,Finance & Benefits,employee,IT Support,Endpoint,disk encryption,"[{""document_id"": ""ITS-032995"", ""grade"": 3}, {""document_id"": ""ITS-032254"", ""grade"": 2}, {""document_id"": ""ITS-033046"", ""grade"": 2}]"
Q-00060,What should an employee do when they encounter this testing scenario?,semantic_paraphrase,US,Software Engineering,architect,Software Engineering,Testing,coverage policy,"[{""document_id"": ""ENG-004813"", ""grade"": 3}, {""document_id"": ""ENG-000435"", ""grade"": 2}, {""document_id"": ""ENG-000704"", ""grade"": 2}]"
Q-00061,Where can I find the current guidance owned by Leadership Academy for this issue?,semantic_paraphrase,US,Learning & Development,hr,Learning & Development,Mandatory,security awareness,"[{""document_id"": ""LND-046930"", ""grade"": 3}, {""document_id"": ""LND-045035"", ""grade"": 2}, {""document_id"": ""LND-045076"", ""grade"": 2}]"
Q-00062,What should an employee do when they encounter this cost scenario?,semantic_paraphrase,IN,Organisation & Directory,cloud_engineer,Cloud,Cost,tagging standard,"[{""document_id"": ""CLD-017864"", ""grade"": 3}, {""document_id"": ""CLD-017150"", ""grade"": 2}, {""document_id"": ""CLD-017535"", ""grade"": 2}]"
Q-00063,Where can I find the current guidance owned by Information Security for this issue?,semantic_paraphrase,GLOBAL,Project Delivery,employee,Cybersecurity,Incident Response,ransomware,"[{""document_id"": ""SEC-023961"", ""grade"": 3}, {""document_id"": ""SEC-021162"", ""grade"": 2}, {""document_id"": ""SEC-021175"", ""grade"": 2}]"
Q-00064,What should an employee do when they encounter this observability scenario?,semantic_paraphrase,GLOBAL,Software Engineering,sre,DevOps & SRE,Observability,SLOs,"[{""document_id"": ""SRE-011373"", ""grade"": 3}, {""document_id"": ""SRE-010057"", ""grade"": 2}, {""document_id"": ""SRE-010088"", ""grade"": 2}]"
Q-00065,What is the approved company procedure for this contracts situation?,semantic_paraphrase,IN,Compliance & Legal,employee,Compliance & Legal,Contracts,contract signature,"[{""document_id"": ""LEG-044825"", ""grade"": 3}, {""document_id"": ""LEG-043180"", ""grade"": 2}, {""document_id"": ""LEG-043293"", ""grade"": 2}]"
Q-00066,What rules apply during my first months as a new employee?,semantic_paraphrase,GLOBAL,Software Engineering,manager,Human Resources,Employment,probation,"[{""document_id"": ""HR-028790"", ""grade"": 3}, {""document_id"": ""HR-025867"", ""grade"": 2}, {""document_id"": ""HR-025920"", ""grade"": 2}]"
Q-00067,Where can I find the current guidance owned by Backend Platform for this issue?,semantic_paraphrase,US,Cybersecurity,engineer,Software Engineering,Java Services,Spring Boot standard,"[{""document_id"": ""ENG-004907"", ""grade"": 3}, {""document_id"": ""ENG-000094"", ""grade"": 2}, {""document_id"": ""ENG-001079"", ""grade"": 2}]"
Q-00068,Where can I find the current guidance owned by Delivery Excellence for this issue?,semantic_paraphrase,GLOBAL,Compliance & Legal,employee,Project Delivery,SDLC,development,"[{""document_id"": ""PMO-038667"", ""grade"": 3}, {""document_id"": ""PMO-037053"", ""grade"": 2}, {""document_id"": ""PMO-037098"", ""grade"": 2}]"
Q-00069,What should an employee do when they encounter this data protection scenario?,semantic_paraphrase,IE,IT Support,employee,Cybersecurity,Data Protection,secure deletion,"[{""document_id"": ""SEC-022308"", ""grade"": 3}, {""document_id"": ""SEC-024867"", ""grade"": 2}]"
Q-00070,What should an employee do when they encounter this teams scenario?,semantic_paraphrase,UK,Cybersecurity,manager,Organisation & Directory,Teams,platform engineering,"[{""document_id"": ""ORG-048321"", ""grade"": 3}, {""document_id"": ""ORG-047042"", ""grade"": 2}, {""document_id"": ""ORG-047373"", ""grade"": 2}]"
Q-00071,What should an employee do when they encounter this java services scenario?,semantic_paraphrase,GLOBAL,Cybersecurity,engineer,Software Engineering,Java Services,dependency management,"[{""document_id"": ""ENG-005108"", ""grade"": 3}, {""document_id"": ""ENG-000248"", ""grade"": 2}, {""document_id"": ""ENG-000329"", ""grade"": 2}]"
Q-00072,Where can I find the current guidance owned by Information Security for this issue?,semantic_paraphrase,IN,Organisation & Directory,employee,Cybersecurity,Data Protection,encryption,"[{""document_id"": ""SEC-024894"", ""grade"": 3}, {""document_id"": ""SEC-021112"", ""grade"": 2}, {""document_id"": ""SEC-021579"", ""grade"": 2}]"
Q-00073,What is the approved company procedure for this performance situation?,semantic_paraphrase,IN,IT Support,manager,Human Resources,Performance,goal setting,"[{""document_id"": ""HR-027468"", ""grade"": 3}, {""document_id"": ""HR-025239"", ""grade"": 2}, {""document_id"": ""HR-025331"", ""grade"": 2}]"
Q-00074,What should an employee do when they encounter this incidents scenario?,semantic_paraphrase,GLOBAL,Learning & Development,employee,DevOps & SRE,Incidents,memory pressure,"[{""document_id"": ""SRE-015666"", ""grade"": 3}, {""document_id"": ""SRE-010094"", ""grade"": 2}, {""document_id"": ""SRE-010239"", ""grade"": 2}]"
Q-00075,What is the approved company procedure for this identity situation?,semantic_paraphrase,IN,Compliance & Legal,manager,Cybersecurity,Identity,access reviews,"[{""document_id"": ""SEC-021894"", ""grade"": 3}, {""document_id"": ""SEC-021068"", ""grade"": 2}, {""document_id"": ""SEC-021867"", ""grade"": 2}]"
Q-00076,What is the approved company procedure for this application security situation?,semantic_paraphrase,IN,Finance & Benefits,manager,Cybersecurity,Application Security,SAST,"[{""document_id"": ""SEC-023243"", ""grade"": 3}, {""document_id"": ""SEC-021138"", ""grade"": 2}, {""document_id"": ""SEC-021219"", ""grade"": 2}]"
Q-00077,What should an employee do when they encounter this privacy scenario?,semantic_paraphrase,IN,Cybersecurity,employee,Compliance & Legal,Privacy,PII processing,"[{""document_id"": ""LEG-043191"", ""grade"": 3}, {""document_id"": ""LEG-043088"", ""grade"": 2}, {""document_id"": ""LEG-043278"", ""grade"": 2}]"
Q-00078,What is the approved company procedure for this teams situation?,semantic_paraphrase,IE,Software Engineering,manager,Organisation & Directory,Teams,enterprise IT,"[{""document_id"": ""ORG-048459"", ""grade"": 3}, {""document_id"": ""ORG-047600"", ""grade"": 2}, {""document_id"": ""ORG-047873"", ""grade"": 2}]"
Q-00079,What is the approved company procedure for this java services situation?,semantic_paraphrase,AU,Human Resources,employee,Software Engineering,Java Services,dependency management,"[{""document_id"": ""ENG-009865"", ""grade"": 3}, {""document_id"": ""ENG-000017"", ""grade"": 2}, {""document_id"": ""ENG-001096"", ""grade"": 2}]"
Q-00080,What is the approved company procedure for this privacy situation?,semantic_paraphrase,IN,IT Support,employee,Compliance & Legal,Privacy,GDPR handling,"[{""document_id"": ""LEG-044468"", ""grade"": 3}, {""document_id"": ""LEG-043009"", ""grade"": 2}, {""document_id"": ""LEG-043054"", ""grade"": 2}]"
Q-00081,Where can I find the current guidance owned by Observability Team for this issue?,semantic_paraphrase,SG,DevOps & SRE,employee,DevOps & SRE,Kubernetes,pod crash loops,"[{""document_id"": ""SRE-011206"", ""grade"": 3}, {""document_id"": ""SRE-010516"", ""grade"": 2}, {""document_id"": ""SRE-010663"", ""grade"": 2}]"
Q-00082,What should an employee do when they encounter this application security scenario?,semantic_paraphrase,GLOBAL,Software Engineering,employee,Cybersecurity,Application Security,threat modeling,"[{""document_id"": ""SEC-024624"", ""grade"": 3}, {""document_id"": ""SEC-021026"", ""grade"": 2}, {""document_id"": ""SEC-021070"", ""grade"": 2}]"
Q-00083,What should an employee do when they encounter this records scenario?,semantic_paraphrase,IN,Software Engineering,manager,Compliance & Legal,Records,retention,"[{""document_id"": ""LEG-043312"", ""grade"": 3}, {""document_id"": ""LEG-043130"", ""grade"": 2}, {""document_id"": ""LEG-043258"", ""grade"": 2}]"
Q-00084,What should an employee do when they encounter this leadership scenario?,semantic_paraphrase,IN,Human Resources,hr,Learning & Development,Leadership,stakeholder management,"[{""document_id"": ""LND-045120"", ""grade"": 3}, {""document_id"": ""LND-045036"", ""grade"": 2}, {""document_id"": ""LND-045136"", ""grade"": 2}]"
Q-00085,Where can I find the current guidance owned by Architecture Guild for this issue?,semantic_paraphrase,GLOBAL,Software Engineering,tech_lead,Software Engineering,Java Services,service templates,"[{""document_id"": ""ENG-006312"", ""grade"": 3}, {""document_id"": ""ENG-000032"", ""grade"": 2}, {""document_id"": ""ENG-000918"", ""grade"": 2}]"
Q-00086,What should an employee do when they encounter this escalation scenario?,semantic_paraphrase,IN,Cybersecurity,manager,Organisation & Directory,Escalation,finance escalation,"[{""document_id"": ""ORG-048429"", ""grade"": 3}, {""document_id"": ""ORG-047418"", ""grade"": 2}, {""document_id"": ""ORG-047434"", ""grade"": 2}]"
Q-00087,What should an employee do when they encounter this network scenario?,semantic_paraphrase,UK,Finance & Benefits,it_support,IT Support,Network,Wi-Fi,"[{""document_id"": ""ITS-036984"", ""grade"": 3}, {""document_id"": ""ITS-032219"", ""grade"": 2}, {""document_id"": ""ITS-032977"", ""grade"": 2}]"
Q-00088,What should an employee do when they encounter this identity scenario?,semantic_paraphrase,IN,Software Engineering,security,Cybersecurity,Identity,password policy,"[{""document_id"": ""SEC-024579"", ""grade"": 3}, {""document_id"": ""SEC-021168"", ""grade"": 2}, {""document_id"": ""SEC-021528"", ""grade"": 2}]"
Q-00089,What should an employee do when they encounter this quality scenario?,semantic_paraphrase,UK,Project Delivery,manager,Project Delivery,Quality,UAT,"[{""document_id"": ""PMO-039933"", ""grade"": 3}, {""document_id"": ""PMO-037197"", ""grade"": 2}, {""document_id"": ""PMO-037351"", ""grade"": 2}]"
Q-00090,Where can I find the current guidance owned by Procurement for this issue?,semantic_paraphrase,UK,Learning & Development,employee,Finance & Benefits,Payroll,salary cycle,"[{""document_id"": ""FIN-041210"", ""grade"": 3}, {""document_id"": ""FIN-040602"", ""grade"": 2}, {""document_id"": ""FIN-040606"", ""grade"": 2}]"
